atc,atc_code,year,metric,nsw,vic,qld,sa,wa,tas,act,nt,total
Alimentary Tract and Metabolism,A,1994,benefit_aud,124081361,80283271,51631534,26721749,24131704,9284368,3731111,955320,320820416
Alimentary Tract and Metabolism,A,1995,benefit_aud,151870977,98206295,64405106,32577405,29661213,11346929,4531385,1188733,393788042
Alimentary Tract and Metabolism,A,1996,benefit_aud,175913679,114011339,75601010,37935808,34753445,12945064,5270555,1385877,457816777
Alimentary Tract and Metabolism,A,1997,benefit_aud,190742205,124469192,83387821,40936931,37900919,13956565,5873562,1514423,498781617
Alimentary Tract and Metabolism,A,1998,benefit_aud,192572176,128867462,86656091,41313803,38980816,13980927,6075574,1612404,510059251
Alimentary Tract and Metabolism,A,1999,benefit_aud,205174606,139004049,95215578,44145755,42158956,14952414,6687204,1719800,549058362
Alimentary Tract and Metabolism,A,2000,benefit_aud,202407537,135440577,93616963,41559106,41543973,14637269,6763649,1635122,537604197
Alimentary Tract and Metabolism,A,2001,benefit_aud,208104573,143394103,100816747,47626985,45100106,15553543,7131293,1869691,569597041
Alimentary Tract and Metabolism,A,2002,benefit_aud,235658793,160563420,113984059,52433006,52338340,17931436,8076064,2100212,643085329
Alimentary Tract and Metabolism,A,2003,benefit_aud,253538416,179992552,127532712,57709548,59229686,19977241,8615116,2366379,708961650
Alimentary Tract and Metabolism,A,2004,benefit_aud,279074983,199088917,143330148,65581417,65197598,22206849,9543790,2705261,786728962
Alimentary Tract and Metabolism,A,2005,benefit_aud,286999600,204880739,149810390,67208346,67113684,23138279,9678689,2823273,811653000
Alimentary Tract and Metabolism,A,2006,benefit_aud,276131119,199323405,143542963,63311446,64372024,22049689,9180951,2639998,780551595
Alimentary Tract and Metabolism,A,2007,benefit_aud,279673625,204505069,150748102,65852041,66733388,22437104,9527138,2861103,802337571
Alimentary Tract and Metabolism,A,2008,benefit_aud,295309517,212209396,159216615,66919498,70846200,24371539,9853039,2899271,841625074
Alimentary Tract and Metabolism,A,2009,benefit_aud,322868723,236730477,172180309,79564300,73125576,25840958,10764320,3256789,924331451
Alimentary Tract and Metabolism,A,2010,benefit_aud,321610646,235865519,176369027,76841791,76189652,25783507,10549418,3251132,926460691
Alimentary Tract and Metabolism,A,2011,benefit_aud,318368488,230823992,174950313,75230734,77335231,25786658,10332895,3270745,916099057
Alimentary Tract and Metabolism,A,2012,benefit_aud,354751414,257935680,191940253,82127783,86794359,28002378,11336419,3522489,1016410775
Alimentary Tract and Metabolism,A,2013,benefit_aud,292785709,206122537,195560577,80836124,66711987,27549979,9669081,3718203,882954196
Alimentary Tract and Metabolism,A,2014,benefit_aud,377888221,286475587,185239139,75776477,97165324,27305297,12474095,3728295,1066052435
Alimentary Tract and Metabolism,A,2015,benefit_aud,371948100,278843601,204838828,85154410,87620845,29520147,12458704,4197374,1074582010
Alimentary Tract and Metabolism,A,2016,benefit_aud,325457087,242743914,191329596,78553703,82900283,26509006,11150018,4044723,962688330
Alimentary Tract and Metabolism,A,2017,benefit_aud,332127962,247419822,189777061,79038950,84310705,26404890,11356396,4173421,974609206
Alimentary Tract and Metabolism,A,2018,benefit_aud,324851817,241354985,185278759,75771538,81440016,25000452,10926394,4095155,948719116
Alimentary Tract and Metabolism,A,2019,benefit_aud,334993831,240202253,183506441,73677368,83613746,25665441,10919545,4257151,956835776
Alimentary Tract and Metabolism,A,2020,benefit_aud,350440421,258387284,202387689,81213588,91286177,28041579,11904313,4296977,1027958029
Alimentary Tract and Metabolism,A,2021,benefit_aud,369739036,276132817,224598042,88658891,101273166,30632395,13679625,5053718,1109767689
Alimentary Tract and Metabolism,A,2022,benefit_aud,407863842,306638870,258130530,98693808,114898136,34177109,15293713,5507026,1241203034
Alimentary Tract and Metabolism,A,2023,benefit_aud,452113743,345777618,290785794,113614407,129263372,37617236,17422302,6359011,1392953482
Alimentary Tract and Metabolism,A,2024,benefit_aud,510927296,376376097,300602565,122167497,141338759,40749477,19201833,7016473,1518379997
Alimentary Tract and Metabolism,A,2025,benefit_aud,576147297,429768801,370436275,147885309,165802497,47961407,22150628,7720233,1767872448
Alimentary Tract and Metabolism,A,2026_ytd,benefit_aud,125005409,96661733,82310999,31632577,40555002,10966954,5469323,1862606,394464603
Alimentary Tract and Metabolism,A,TOTAL,benefit_aud,9930599582,7184147959,5462612354,2320421066,2442190132,790012076,340646426,110383504,28581013097
Blood and Blood Forming Organs,B,1992,benefit_aud,4256703,3132492,2120535,903420,1049433,292056,83010,17845,11855493
Blood and Blood Forming Organs,B,1994,benefit_aud,4599158,3563321,2258974,1020132,1110926,322463,82079,21677,12978731
Blood and Blood Forming Organs,B,1995,benefit_aud,5049686,4294477,2569780,1156309,1346736,408101,103305,29035,14957429
Blood and Blood Forming Organs,B,1996,benefit_aud,5753743,5308887,3111401,1366611,1492546,464186,116731,31154,17645260
Blood and Blood Forming Organs,B,1997,benefit_aud,6708217,6116244,3488014,1445603,1553259,512076,158670,34938,20017020
Blood and Blood Forming Organs,B,1998,benefit_aud,7679347,6930824,4250377,1715374,1848939,658319,189653,59016,23331849
Blood and Blood Forming Organs,B,1999,benefit_aud,9683052,8637905,5773493,2271330,2495516,763794,292018,49356,29966464
Blood and Blood Forming Organs,B,2000,benefit_aud,19622097,14704156,11689125,4685487,4497720,1570547,694294,89845,57553273
