atc,atc_code,year,metric,nsw,vic,qld,sa,wa,tas,act,nt,total
Alimentary Tract and Metabolism,A,1994,services,5059712,3362999,2284243,1136010,1023049,385448,133973,37009,13422443
Alimentary Tract and Metabolism,A,1995,services,5508228,3688796,2507011,1263662,1139001,425970,146456,42523,14721647
Alimentary Tract and Metabolism,A,1996,services,5727518,3884453,2648428,1347666,1224215,441950,156569,46174,15476973
Alimentary Tract and Metabolism,A,1997,services,5835280,3972934,2709921,1368921,1260573,447921,165433,48724,15809707
Alimentary Tract and Metabolism,A,1998,services,5837750,4041560,2721646,1370778,1283643,442497,172115,52578,15922567
Alimentary Tract and Metabolism,A,1999,services,6145441,4338206,2944762,1469402,1381711,468155,185619,56633,16989929
Alimentary Tract and Metabolism,A,2000,services,6523065,4557648,3097169,1478206,1448737,490930,201624,56267,17853646
Alimentary Tract and Metabolism,A,2001,services,6395612,4601577,3164850,1607881,1483411,494251,196848,57562,18001992
Alimentary Tract and Metabolism,A,2002,services,7169652,5066513,3488004,1699080,1660432,546961,223683,62648,19916973
Alimentary Tract and Metabolism,A,2003,services,7347331,5372365,3710722,1767463,1772728,576341,230872,68823,20846645
Alimentary Tract and Metabolism,A,2004,services,7894039,5754645,4054531,1931247,1893310,622936,253451,77786,22481945
Alimentary Tract and Metabolism,A,2005,services,8148243,5928559,4241971,1972348,1959810,645618,261951,82712,23241212
Alimentary Tract and Metabolism,A,2006,services,8127872,6002279,4256366,1920804,1934519,645635,261047,82512,23231034
Alimentary Tract and Metabolism,A,2007,services,8400013,6260383,4595168,2029080,2059684,672402,281792,91168,24389690
Alimentary Tract and Metabolism,A,2008,services,8617264,6307151,4697860,1991426,2125305,707699,282841,87158,24816704
Alimentary Tract and Metabolism,A,2009,services,9273879,6930921,4986144,2306166,2170804,737403,304681,94370,26804368
Alimentary Tract and Metabolism,A,2010,services,9207018,6951807,5060835,2231702,2249631,742728,297475,87146,26828342
Alimentary Tract and Metabolism,A,2011,services,8974077,6651184,4882568,2131924,2197179,727493,275386,81889,25921700
Alimentary Tract and Metabolism,A,2012,services,9998560,7447003,5329096,2352828,2422527,792789,295236,90321,28728360
Alimentary Tract and Metabolism,A,2013,services,8478639,6046728,5502637,2377206,1897751,786177,251874,98063,25439075
Alimentary Tract and Metabolism,A,2014,services,11524236,8806737,5552045,2368914,2939475,832886,345886,103100,32473279
Alimentary Tract and Metabolism,A,2015,services,11911217,8889175,6362060,2738823,2814374,939862,366608,119304,34141423
Alimentary Tract and Metabolism,A,2016,services,10287956,7607495,5918376,2490311,2580558,845298,320777,113963,30164734
Alimentary Tract and Metabolism,A,2017,services,10449842,7716030,5890475,2496562,2647947,846323,329643,120260,30497082
