filename,drug,brand_name,indication,therapy_area,recommendation,listing_type,comparator,icer_low,icer_high,icer_note,risk_sharing,risk_sharing_note,population_per_year,key_trials,resubmission,budget_impact_aud,rejection_reasons,patient_advocacy,pico_population,evidence_type,line_of_therapy,trial_size,primary_endpoint,economic_model,pbac_year,pbac_month,extraction_ok,error_note
20-valent-pneumococcal-conjugate-vaccine-psd-nov-2023.pdf,"pneumococcal conjugate vaccine, 20-valent",Prevenar 20,Prevention of pneumococcal disease caused by Streptococcus pneumoniae in paediatric populations including infants aged ≤12 months and children with NIP-funded risk conditions.,Immunology,Noted,Restricted,13-valent pneumococcal conjugate vaccine (13vPCV) and 15-valent pneumococcal conjugate vaccine (15vPCV),,,Cost-minimisation analysis used; no ICER calculated,no,,,,no,,,no,Infants aged ≤12 months (2+1 or 3+1 schedule depending on region and Indigenous status) and children >12 months with NIP-funded risk conditions (single dose at diagnosis),RCT,Not applicable,,"Immunogenicity (IgG concentrations, OPA titres) and efficacy against IPD, pneumococcal pneumonia, and otitis media",Cost-minimisation,2023,11,yes,
20v-pcv-psd-11-2022.pdf,"pneumococcal polysaccharide conjugate vaccine, 20-valent",Prevenar 20,"Prevention of invasive pneumococcal disease and pneumonia caused by Streptococcus pneumoniae in adults aged ≥18 years, including current NIP populations (non-Indigenous adults ≥70 years, Aboriginal and Torres Strait Islander adults ≥50 years, adults ≥18 years with risk conditions) and proposed expanded populations (Aboriginal and Torres Strait Islander adults aged 25-49 years).",Infectious disease,Recommended with restriction,Restricted,"13-valent pneumococcal conjugate vaccine (13vPCV), 15-valent pneumococcal conjugate vaccine (15vPCV), and no vaccine for expanded population",,,ICER data not provided in the extracted text; cost-effectiveness analysis presented on cost-minimisation and cost-effectiveness basis versus comparators,no,,,,no,,,no,"Non-Indigenous adults aged ≥70 years, Aboriginal and Torres Strait Islander adults aged ≥50 years, adults aged ≥18 years with NIP-listed risk conditions, and Aboriginal and Torres Strait Islander adults aged 25-49 years.",RCT,Not applicable,,Immunogenicity (opsonophagocytic activity assay); prevention of invasive pneumococcal disease and pneumococcal pneumonia,CEA,2022,11,yes,
abaloparatide-psd-july-2025.pdf,abaloparatide,Eladynos,First-line treatment of severe established osteoporosis with very high risk of fracture in patients who are at high risk (including those with prior fractures or intolerant to anti-resorptive therapy).,Musculo-skeletal,,Restricted,romosozumab,,,Cost-minimisation approach used; no ICER calculated,yes,Risk Sharing Arrangement mentioned in context of romosozumab precedent (March 2024); arrangement details for abaloparatide not specified in this section,,,no,,,no,"Adults aged 18 years or older with severe established osteoporosis, very high risk of fracture, BMD T-score ≤-2.5, and symptomatic fracture(s) from minimal trauma (at least 1 hip or vertebral fracture in previous 24 months, or at least 2 fractures including 1 new in previous 24 months), who are treatment-naïve or intolerant to anti-resorptive therapy/romosozumab.",Cost-minimisation,First-line,,Cost-minimisation,Cost-minimisation,2025,7,yes,
Abatacept-ORENCIA-BMS-5-1-PSD-Nov-07-FINAL.pdf,abatacept,Orencia,Treatment in combination with methotrexate of adults with severe active rheumatoid arthritis who have failed prior disease modifying anti-rheumatic drug (DMARD) therapy.,Immunology,Recommended with restriction,Restricted,infliximab,,,,no,,,"Study 043, Study 102, Study 029, ATTRACT, Study 031",no,,,no,"Adults with severe active rheumatoid arthritis who have failed prior DMARD therapy (including methotrexate monotherapy and combination DMARD therapy), and are biologic DMARD naïve.",RCT,First-line,431,DAS28,,,,yes,
abatacept-psd-march-2018.pdf,abatacept,Orencia,"Treatment of severe active psoriatic arthritis in patients who have failed conventional synthetic DMARDs (methotrexate, sulfasalazine, or leflunomide) and have received no prior PBS-subsidised biologic treatment.",Musculo-skeletal,Recommended with restriction,Authority Required,"certolizumab pegol, ustekinumab, secukinumab",,,Cost-minimisation analysis conducted; ICER not applicable as cost-minimisation framework used,no,,,"Mease 2011, Mease 2017, IM101332, IM101158",no,,,no,"Adults with severe active psoriatic arthritis who have failed methotrexate (≥20mg weekly for ≥3 months), sulfasalazine (≥2g daily for ≥3 months), or leflunomide (≤20mg daily for ≥3 months), and have received no prior PBS-subsidised biologic treatment",RCT,Second-line,40,ACR50,Cost-minimisation,2018,3,yes,
abatacept-psd-november-2015.pdf,abatacept,Orencia,Treatment of severe active rheumatoid arthritis,Musculo-skeletal,Recommended,Authority Required,,,,Not applicable — minor submission for formulation change only,no,,,,no,,,no,Patients with severe active rheumatoid arthritis,Cost-minimisation,Any,,Cost-minimisation,Cost-minimisation,2015,11,yes,
abemaciclib-psd-03-2023.pdf,abemaciclib,Verzenio®,"Treatment of hormone receptor positive (HR+), human epidermal growth factor receptor 2 negative (HER2-), lymph node positive, invasive, resected early breast cancer (EBC) at high risk of disease recurrence, in combination with adjuvant endocrine therapy.",Oncology,Not recommended,Authority Required,adjuvant endocrine therapy alone,,,ICER values redacted/commercially sensitive; document indicates ICERs remain too high for recommendation despite improvements from previous submission,no,,,monarchE,yes,,"immature OS data with no OS benefit observed, modest clinical effectiveness (IDFS benefit), uncertain long-term extrapolation due to low number of observed events, high ICER relative to accepted thresholds, uncertain treatment effect duration beyond 48 months, concerns about replacement of CDK4/6 inhibitors in metastatic setting, transitivity issues with metastatic trials, implausibly high life years gained estimates",no,"Adult patients with HR+, HER2- lymph node positive, invasive, resected early-stage breast cancer at high risk of recurrence",RCT,First-line,,IDFS,CUA,2023,3,yes,
abemaciclib-psd-mar-2021.pdf,abemaciclib,Verzenio,"Non-premenopausal patients with inoperable hormone receptor positive (HR+) and human epidermal growth factor receptor 2 negative (HER2-) metastatic breast cancer with endocrine resistance, in combination with fulvestrant.",Oncology,Recommended with restriction,Authority Required,ribociclib,,,Cost-minimisation analysis performed; no ICER calculated,no,,,,no,,,no,"Non-premenopausal patients with inoperable HR+/HER2- metastatic breast cancer with endocrine resistance, including those previously treated with endocrine therapy or intolerant to alternative CDK4/6 inhibitors, with WHO ECOG status ≤2",RCT,Later-line,,PFS,Cost-minimisation,2021,3,yes,
abemaciclib-psd-march-2019.pdf,abemaciclib,Verzenio®,"Initial endocrine-based treatment for non-premenopausal patients with hormone receptor positive (HR+), human epidermal growth factor receptor 2 negative (HER2-) advanced breast cancer.",Oncology,Recommended with restriction,Authority Required,ribociclib,,,Cost-minimisation analysis (CMA) conducted; no ICER range provided,no,,,,no,,,no,"Non-premenopausal patients with hormone receptor positive (HR+), HER2-negative, inoperable, locally advanced or metastatic breast cancer with ECOG performance status ≤2",Cost-minimisation,First-line,,PFS,Cost-minimisation,2019,3,yes,
abemaciclib-psd-march-2022.pdf,abemaciclib,Verzenio,"Adjuvant treatment of hormone receptor positive, HER2 negative, lymph node positive, early-stage breast cancer at high risk of recurrence, in combination with endocrine therapy.",Oncology,Recommended with restriction,Authority Required,endocrine therapy alone,,,ICER range not stated in the provided document excerpt,no,,,monarchE,no,,,no,"Adult patients with HR positive, HER2 negative, lymph node positive, invasive, resected, early-stage breast cancer at high risk of recurrence (defined as ≥4 positive lymph nodes OR 1–3 positive lymph nodes with tumour >5 cm or histological grade ≥3)",RCT,First-line,,DFS,CUA,2022,3,yes,
