ta_number,title,drug_name,published_date,recommendation,guidance_url,pdf_url
1,Guidance on the extraction of wisdom teeth,guidance on the extraction of wisdom teeth,27 March 2000,,https://www.nice.org.uk/guidance/ta1,https://www.nice.org.uk/guidance/ta1/resources/guidance-on-the-extraction-of-wisdom-teeth-pdf-63732983749
2,Guidance on the Selection of Prostheses for Primary Total Hip Replacement,guidance on the selection of prostheses,26 April 2000,,https://www.nice.org.uk/guidance/ta2,https://www.nice.org.uk/guidance/ta2/resources/ta2.pdf
3,Ovarian cancer - taxanes,ovarian cancer - taxanes,27 May 2000,,https://www.nice.org.uk/guidance/ta3,https://www.nice.org.uk/guidance/ta3/resources/ta3.pdf
4,Ischaemic heart disease - coronary artery stents,ischaemic heart disease - coronary artery stents,27 May 2000,,https://www.nice.org.uk/guidance/ta4,https://www.nice.org.uk/guidance/ta4/resources/ta4.pdf
5,Liquid-based cytology for cervical screening,liquid-based cytology,26 June 2000,,https://www.nice.org.uk/guidance/ta5,https://www.nice.org.uk/guidance/ta5/resources/ta5.pdf
6,Taxanes for the treatment of breast cancer,taxanes,26 June 2000,,https://www.nice.org.uk/guidance/ta6,https://www.nice.org.uk/guidance/ta6/resources/ta6.pdf
7,The clinical and cost effectiveness of proton pump inhibitors for the treatment of dyspepsia,the clinical,23 July 2000,,https://www.nice.org.uk/guidance/ta7,https://www.nice.org.uk/guidance/ta7/resources/ta7.pdf
8,Hearing disability - hearing aids,hearing disability - hearing aids,23 July 2000,,https://www.nice.org.uk/guidance/ta8,https://www.nice.org.uk/guidance/ta8/resources/ta8.pdf
9,Diabetes (type 2) - rosiglitazone,diabetes (type 2) - rosiglitazone,23 August 2000,,https://www.nice.org.uk/guidance/ta9,https://www.nice.org.uk/guidance/ta9/resources/ta9.pdf
10,Guidance on the use of inhaler systems (devices) in children under the age of 5 years with chronic asthma,guidance on the use of inhaler systems (devices) in children under the age of 5 years with chronic asthma,23 August 2000,,https://www.nice.org.uk/guidance/ta10,https://www.nice.org.uk/guidance/ta10/resources/ta10.pdf
11,Implantable cardioverter defibrillators (ICDs) for the treatment of arrhythmias,implantable cardioverter defibrillators (icds),26 September 2000,,https://www.nice.org.uk/guidance/ta11,https://www.nice.org.uk/guidance/ta11/resources/ta11.pdf
12,Glycoprotein IIb/IIIa inhibitors in the treatment of acute coronary syndromes,glycoprotein iib/iiia inhibitors in the treatment of acute coronary syndromes,26 September 2000,,https://www.nice.org.uk/guidance/ta12,https://www.nice.org.uk/guidance/ta12/resources/ta12.pdf
13,Methylphenidate for the treatment of attention deficit hyperactivity disorder in children and adolescents,methylphenidate,28 October 2000,,https://www.nice.org.uk/guidance/ta13,https://www.nice.org.uk/guidance/ta13/resources/ta13.pdf
14,The clinical and cost effectiveness of pegylated interferon alpha 2a and alpha 2b for hepatitis C,the clinical,28 October 2000,,https://www.nice.org.uk/guidance/ta14,https://www.nice.org.uk/guidance/ta14/resources/ta14.pdf
15,Zanamivir for the treatment of influenza in adults,zanamivir,27 November 2000,,https://www.nice.org.uk/guidance/ta15,https://www.nice.org.uk/guidance/ta15/resources/ta15.pdf
16,Autologous cartilage transplantation for full thickness cartilage defects in knee joints,autologous cartilage transplantation,16 December 2000,,https://www.nice.org.uk/guidance/ta16,https://www.nice.org.uk/guidance/ta16/resources/ta16.pdf
17,Laparoscopic surgery for colorectal cancer,laparoscopic surgery,16 December 2000,,https://www.nice.org.uk/guidance/ta17,https://www.nice.org.uk/guidance/ta17/resources/ta17.pdf
18,Laparoscopic surgery for hernia,laparoscopic surgery,23 January 2001,,https://www.nice.org.uk/guidance/ta18,https://www.nice.org.uk/guidance/ta18/resources/ta18.pdf
19,"Alzheimer's disease (mild to moderate) - donepezil, rivastigmine and galantamine","alzheimer's disease (mild to moderate) - donepezil, rivastigmine",23 January 2001,,https://www.nice.org.uk/guidance/ta19,https://www.nice.org.uk/guidance/ta19/resources/ta19.pdf
20,Guidance on the use of riluzole (Rilutek) for the treatment of motor neurone disease,guidance on the use of riluzole (rilutek),23 January 2001,,https://www.nice.org.uk/guidance/ta20,https://www.nice.org.uk/guidance/ta20/resources/guidance-on-the-use-of-riluzole-rilutek-for-the-treatment-of-motor-neurone-disease-pdf-2294449469125
21,Diabetes (type 2) - pioglitazone,diabetes (type 2) - pioglitazone,27 March 2001,,https://www.nice.org.uk/guidance/ta21,https://www.nice.org.uk/guidance/ta21/resources/ta21.pdf
22,Orlistat for the treatment of obesity in adults,orlistat,27 March 2001,,https://www.nice.org.uk/guidance/ta22,https://www.nice.org.uk/guidance/ta22/resources/ta22.pdf
23,Guidance on the use of temozolomide for the treatment of recurrent malignant glioma (brain cancer),guidance on the use of temozolomide,26 April 2001,,https://www.nice.org.uk/guidance/ta23,https://www.nice.org.uk/guidance/ta23/resources/guidance-on-the-use-of-temozolomide-for-the-treatment-of-recurrent-malignant-glioma-brain-cancer-pdf-2294454507973
24,Wound care - debriding agents,wound care - debriding agents,27 April 2001,,https://www.nice.org.uk/guidance/ta24,https://www.nice.org.uk/guidance/ta24/resources/ta24.pdf
25,Guidance on the use of gemcitabine for the treatment of pancreatic cancer,guidance on the use of gemcitabine,08 May 2001,,https://www.nice.org.uk/guidance/ta25,https://www.nice.org.uk/guidance/ta25/resources/ta25.pdf
