ta_number,drug_name,title,published_date,recommendation,guidance_url
96,adefovir dipivoxil,Adefovir dipivoxil and peginterferon alfa-2a for the treatment of chronic hepatitis B,22 February 2006,,https://www.nice.org.uk/guidance/ta96
231,agomelatine,Agomelatine for the treatment of major depressive episodes (terminated appraisal),27 July 2011,,https://www.nice.org.uk/guidance/ta231
177,alitretinoin,Alitretinoin for the treatment of severe chronic hand eczema,26 August 2009,,https://www.nice.org.uk/guidance/ta177
122,alteplase,Alteplase for the treatment of acute ischaemic stroke,27 June 2007,,https://www.nice.org.uk/guidance/ta122
264,alteplase,Alteplase for treating acute ischaemic stroke,26 September 2012,,https://www.nice.org.uk/guidance/ta264
168,"amantadine, oseltamivir","Amantadine, oseltamivir and zanamivir for the treatment of influenza",25 February 2009,,https://www.nice.org.uk/guidance/ta168
697,andexanet alfa,Andexanet alfa for reversing anticoagulation from apixaban or rivaroxaban,12 May 2021,,https://www.nice.org.uk/guidance/ta697
859,angiotensin ii,Angiotensin II for treating vasosuppressor-resistant hypotension caused by septic or distributive shock (terminated appraisal),16 January 2023,,https://www.nice.org.uk/guidance/ta859
16,autologous cartilage transplantation,Autologous cartilage transplantation for full thickness cartilage defects in knee joints,16 December 2000,,https://www.nice.org.uk/guidance/ta16
477,autologous chondrocyte implantation,Autologous chondrocyte implantation for treating symptomatic articular cartilage defects of the knee,04 October 2017,,https://www.nice.org.uk/guidance/ta477
508,autologous chondrocyte implantation using chondrosphere,Autologous chondrocyte implantation using chondrosphere for treating symptomatic articular cartilage defects of the knee,07 March 2018,,https://www.nice.org.uk/guidance/ta508
730,avapritinib,Avapritinib for treating unresectable or metastatic gastrointestinal stromal tumours (terminated appraisal),29 September 2021,,https://www.nice.org.uk/guidance/ta730
559,axicabtagene ciloleucel,Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,23 January 2019,,https://www.nice.org.uk/guidance/ta559
872,axicabtagene ciloleucel,Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,28 February 2023,,https://www.nice.org.uk/guidance/ta872
894,axicabtagene ciloleucel,Axicabtagene ciloleucel for treating relapsed or refractory follicular lymphoma,07 June 2023,,https://www.nice.org.uk/guidance/ta894
895,axicabtagene ciloleucel,Axicabtagene ciloleucel for treating relapsed or refractory diffuse large B-cell lymphoma after first-line chemoimmunotherapy,07 June 2023,,https://www.nice.org.uk/guidance/ta895
732,baloxavir marboxil,Baloxavir marboxil for treating acute uncomplicated influenza (terminated appraisal),06 October 2021,,https://www.nice.org.uk/guidance/ta732
949,belumosudil,Belumosudil for treating chronic graft-versus-host disease after 2 or more systemic treatments in people 12 years and over,07 February 2024,,https://www.nice.org.uk/guidance/ta949
738,berotralstat,Berotralstat for preventing recurrent attacks of hereditary angioedema,20 October 2021,,https://www.nice.org.uk/guidance/ta738
32,beta interferon,Beta interferon and glatiramer acetate for the treatment of multiple sclerosis,23 January 2002,,https://www.nice.org.uk/guidance/ta32
527,beta interferons,Beta interferons and glatiramer acetate for treating multiple sclerosis,27 June 2018,,https://www.nice.org.uk/guidance/ta527
464,bisphosphonates,Bisphosphonates for treating osteoporosis,09 August 2017,,https://www.nice.org.uk/guidance/ta464
230,bivalirudin,Bivalirudin for the treatment of ST-segment-elevation myocardial infarction,27 July 2011,,https://www.nice.org.uk/guidance/ta230
253,boceprevir,Boceprevir for the treatment of genotype 1 chronic hepatitis C,25 April 2012,,https://www.nice.org.uk/guidance/ta253
299,bosutinib,Bosutinib for previously treated chronic myeloid leukaemia,27 November 2013,,https://www.nice.org.uk/guidance/ta299
401,bosutinib,Bosutinib for previously treated chronic myeloid leukaemia,24 August 2016,,https://www.nice.org.uk/guidance/ta401
576,bosutinib,Bosutinib for untreated chronic myeloid leukaemia (terminated appraisal),17 April 2019,,https://www.nice.org.uk/guidance/ta576
677,brexucabtagene autoleucel,Brexucabtagene autoleucel for treating relapsed or refractory mantle cell lymphoma,24 February 2021,,https://www.nice.org.uk/guidance/ta677
893,brexucabtagene autoleucel,Brexucabtagene autoleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 26 years and over,07 June 2023,,https://www.nice.org.uk/guidance/ta893
511,brodalumab,Brodalumab for treating moderate to severe plaque psoriasis,21 March 2018,,https://www.nice.org.uk/guidance/ta511
351,cangrelor,Cangrelor for reducing atherothrombotic events in people undergoing percutaneous coronary intervention or awaiting surgery requiring interruption of anti‑platelet therapy (terminated appraisal),22 July 2015,,https://www.nice.org.uk/guidance/ta351
100,capecitabine,Capecitabine and oxaliplatin in the adjuvant treatment of stage 3 (Dukes' C) colon cancer,26 April 2006,,https://www.nice.org.uk/guidance/ta100
191,capecitabine,Capecitabine for the treatment of advanced gastric cancer,28 July 2010,,https://www.nice.org.uk/guidance/ta191
884,capmatinib,Capmatinib for treating advanced non-small-cell lung cancer with MET exon 14 skipping (terminated appraisal),03 May 2023,,https://www.nice.org.uk/guidance/ta884
120,cardiac resynchronisation therapy,Cardiac resynchronisation therapy for the treatment of heart failure,23 May 2007,,https://www.nice.org.uk/guidance/ta120
121,carmustine implants,Carmustine implants and temozolomide for the treatment of newly diagnosed high-grade glioma,27 June 2007,,https://www.nice.org.uk/guidance/ta121
149,carmustine implants,Carmustine implants for the treatment of recurrent glioblastoma multiforme (terminated appraisal),25 June 2008,,https://www.nice.org.uk/guidance/ta149
532,cenegermin,Cenegermin for treating neurotrophic keratitis,18 July 2018,,https://www.nice.org.uk/guidance/ta532
753,cenobamate,Cenobamate for treating focal onset seizures in epilepsy,15 December 2021,,https://www.nice.org.uk/guidance/ta753
720,chlormethine gel,Chlormethine gel for treating mycosis fungoides-type cutaneous T-cell lymphoma,18 August 2021,,https://www.nice.org.uk/guidance/ta720
223,"cilostazol, naftidrofuryl oxalate, pentoxifylline","Cilostazol, naftidrofuryl oxalate, pentoxifylline and inositol nicotinate for the treatment of intermittent claudication in people with peripheral arterial disease",25 May 2011,,https://www.nice.org.uk/guidance/ta223
889,ciltacabtagene autoleucel,Ciltacabtagene autoleucel for treating relapsed or refractory multiple myeloma (terminated appraisal),17 May 2023,,https://www.nice.org.uk/guidance/ta889
912,cipaglucosidase alfa with miglustat,Cipaglucosidase alfa with miglustat for treating late-onset Pompe disease,15 August 2023,,https://www.nice.org.uk/guidance/ta912
90,clopidogrel,Clopidogrel and modified-release dipyridamole in the prevention of occlusive vascular events,25 May 2005,,https://www.nice.org.uk/guidance/ta90
210,clopidogrel,Clopidogrel and modified-release dipyridamole for the prevention of occlusive vascular events,15 December 2010,,https://www.nice.org.uk/guidance/ta210
