drug,therapy_area,pbac_date,nice_date,gap_days,gap_months,who_moved_first,nice_recommendation,pbac_filename,nice_ta_number,nice_title,nice_published_date,pbac_year,pbac_month,nice_guidance_url
abatacept,Immunology,2018-03-01,2008-04-23,3599,118.2,NICE (UK first),,abatacept-psd-march-2018.pdf,141,Abatacept for the treatment of rheumatoid arthritis,23 April 2008,2018,3,https://www.nice.org.uk/guidance/ta141
abatacept,Immunology,2018-03-01,2011-08-24,2381,78.2,NICE (UK first),,abatacept-psd-march-2018.pdf,234,Abatacept for the treatment of rheumatoid arthritis after the failure of conventional disease-modifying anti-rheumatic drugs,24 August 2011,2018,3,https://www.nice.org.uk/guidance/ta234
abatacept,Immunology,2018-03-01,2013-04-24,1772,58.2,NICE (UK first),,abatacept-psd-march-2018.pdf,280,Abatacept for treating rheumatoid arthritis after the failure of conventional disease-modifying anti-rheumatic drugs,24 April 2013,2018,3,https://www.nice.org.uk/guidance/ta280
abatacept,Immunology,2018-03-01,2015-12-16,806,26.5,NICE (UK first),,abatacept-psd-march-2018.pdf,373,"Abatacept, adalimumab, etanercept and tocilizumab for treating juvenile idiopathic arthritis",16 December 2015,2018,3,https://www.nice.org.uk/guidance/ta373
abatacept,Immunology,2018-03-01,2019-03-13,-377,-12.4,PBAC (AUS first),,abatacept-psd-march-2018.pdf,568,Abatacept for treating psoriatic arthritis after DMARDs (terminated appraisal),13 March 2019,2018,3,https://www.nice.org.uk/guidance/ta568
abatacept,Immunology,2015-11-01,2008-04-23,2748,90.3,NICE (UK first),,abatacept-psd-november-2015.pdf,141,Abatacept for the treatment of rheumatoid arthritis,23 April 2008,2015,11,https://www.nice.org.uk/guidance/ta141
abatacept,Immunology,2015-11-01,2011-08-24,1530,50.3,NICE (UK first),,abatacept-psd-november-2015.pdf,234,Abatacept for the treatment of rheumatoid arthritis after the failure of conventional disease-modifying anti-rheumatic drugs,24 August 2011,2015,11,https://www.nice.org.uk/guidance/ta234
abatacept,Immunology,2015-11-01,2013-04-24,921,30.3,NICE (UK first),,abatacept-psd-november-2015.pdf,280,Abatacept for treating rheumatoid arthritis after the failure of conventional disease-modifying anti-rheumatic drugs,24 April 2013,2015,11,https://www.nice.org.uk/guidance/ta280
abatacept,Immunology,2015-11-01,2015-12-16,-45,-1.5,PBAC (AUS first),,abatacept-psd-november-2015.pdf,373,"Abatacept, adalimumab, etanercept and tocilizumab for treating juvenile idiopathic arthritis",16 December 2015,2015,11,https://www.nice.org.uk/guidance/ta373
abatacept,Immunology,2015-11-01,2019-03-13,-1228,-40.3,PBAC (AUS first),,abatacept-psd-november-2015.pdf,568,Abatacept for treating psoriatic arthritis after DMARDs (terminated appraisal),13 March 2019,2015,11,https://www.nice.org.uk/guidance/ta568
abemaciclib,Oncology,2023-03-01,2019-02-27,1463,48.1,NICE (UK first),,abemaciclib-psd-03-2023.pdf,563,"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",27 February 2019,2023,3,https://www.nice.org.uk/guidance/ta563
abemaciclib,Oncology,2023-03-01,2019-05-08,1393,45.8,NICE (UK first),,abemaciclib-psd-03-2023.pdf,579,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",08 May 2019,2023,3,https://www.nice.org.uk/guidance/ta579
abemaciclib,Oncology,2023-03-01,2021-09-15,532,17.5,NICE (UK first),,abemaciclib-psd-03-2023.pdf,725,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",15 September 2021,2023,3,https://www.nice.org.uk/guidance/ta725
abemaciclib,Oncology,2023-03-01,2022-07-20,224,7.4,NICE (UK first),,abemaciclib-psd-03-2023.pdf,810,"Abemaciclib with endocrine therapy for adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence",20 July 2022,2023,3,https://www.nice.org.uk/guidance/ta810
abemaciclib,Oncology,2021-03-01,2019-02-27,733,24.1,NICE (UK first),,abemaciclib-psd-mar-2021.pdf,563,"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",27 February 2019,2021,3,https://www.nice.org.uk/guidance/ta563
abemaciclib,Oncology,2021-03-01,2019-05-08,663,21.8,NICE (UK first),,abemaciclib-psd-mar-2021.pdf,579,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",08 May 2019,2021,3,https://www.nice.org.uk/guidance/ta579
abemaciclib,Oncology,2021-03-01,2021-09-15,-198,-6.5,PBAC (AUS first),,abemaciclib-psd-mar-2021.pdf,725,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",15 September 2021,2021,3,https://www.nice.org.uk/guidance/ta725
abemaciclib,Oncology,2021-03-01,2022-07-20,-506,-16.6,PBAC (AUS first),,abemaciclib-psd-mar-2021.pdf,810,"Abemaciclib with endocrine therapy for adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence",20 July 2022,2021,3,https://www.nice.org.uk/guidance/ta810
abemaciclib,Oncology,2019-03-01,2019-02-27,2,0.1,Concurrent (±1mo),,abemaciclib-psd-march-2019.pdf,563,"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",27 February 2019,2019,3,https://www.nice.org.uk/guidance/ta563
abemaciclib,Oncology,2019-03-01,2019-05-08,-68,-2.2,PBAC (AUS first),,abemaciclib-psd-march-2019.pdf,579,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",08 May 2019,2019,3,https://www.nice.org.uk/guidance/ta579
abemaciclib,Oncology,2019-03-01,2021-09-15,-929,-30.5,PBAC (AUS first),,abemaciclib-psd-march-2019.pdf,725,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",15 September 2021,2019,3,https://www.nice.org.uk/guidance/ta725
abemaciclib,Oncology,2019-03-01,2022-07-20,-1237,-40.6,PBAC (AUS first),,abemaciclib-psd-march-2019.pdf,810,"Abemaciclib with endocrine therapy for adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence",20 July 2022,2019,3,https://www.nice.org.uk/guidance/ta810
abemaciclib,Oncology,2022-03-01,2019-02-27,1098,36.1,NICE (UK first),,abemaciclib-psd-march-2022.pdf,563,"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",27 February 2019,2022,3,https://www.nice.org.uk/guidance/ta563
