drug,year,month,pbac_date,filename
20-valent-pneumococcal-conjugate-vaccine,2023,11,2023-11-01,20-valent-pneumococcal-conjugate-vaccine-psd-nov-2023.pdf
20v-pcv,2022,11,2022-11-01,20v-pcv-psd-11-2022.pdf
abaloparatide,2025,7,2025-07-01,abaloparatide-psd-july-2025.pdf
aciclovir,2015,7,2015-07-01,aciclovir-psd-july-2015%20.pdf
aciclovir,2021,3,2021-03-01,aciclovir-psd-mar-2021.pdf
aclidinium,2014,3,2014-03-01,aclidinium-psd-03-2014.pdf
aclidinium-with-eformoterol,2015,7,2015-07-01,aclidinium-with-eformoterol-psd-july-2015.pdf
adjuvanted-trivalent-and-quadrivalent-influenza-vaccine,2019,7,2019-07-01,adjuvanted-trivalent-and-quadrivalent-influenza-vaccine-psd-7-2019-addendum-08-2019.pdf
adrenaline-emerade,2018,3,2018-03-01,adrenaline-emerade-psd-march-2018.pdf
adrenaline,2016,7,2016-07-01,adrenaline-psd-july-2016.pdf
adrenaline,2024,7,2024-07-01,adrenaline-psd-july-2024.pdf
adrenaline,2016,3,2016-03-01,adrenaline-psd-march-2016.pdf
adrenaline,2018,3,2018-03-01,adrenaline-psd-march-2018.pdf
adrenaline,2020,11,2020-11-01,adrenaline-psd-nov-2020.pdf
age-restrictions-asthma-fdc-products,2019,12,2019-12-01,age-restrictions-asthma-fdc-products-psd-december-2019.pdf
alendronate-fosamax-merck-sharp-dohme,2011,7,2011-07-01,alendronate-fosamax-merck-sharp-dohme-psd-7-2-2011-07-final.pdf
alendronate,2016,7,2016-07-01,alendronate-psd-july-2016.pdf
alogliptin-metformin,2013,,2013-07-01,alogliptin-metformin-psd-2013.pdf
alogliptin,2013,7,2013-07-01,alogliptin-psd-07-2013.pdf
amifampridine,2022,3,2022-03-01,amifampridine-psd-march-2022.pdf
amifampridine,2021,11,2021-11-01,amifampridine-psd-november-2021.pdf
amino-acid-amino5,2014,7,2014-07-01,amino-acid-amino5-psd-07-2014.pdf
amino-acid-fomula-coolers,2018,3,2018-03-01,amino-acid-fomula-coolers-psd-march-2018.pdf
amino-acid-formula-1,2015,3,2015-03-01,amino-acid-formula-1-psd-march-2015.pdf
amino-acid-formula-2,2015,3,2015-03-01,amino-acid-formula-2-psd-march-2015.pdf
amino-acid-formula-essential-care-jr,2024,11,2024-11-01,amino-acid-formula-essential-care-jr-psd-nov-2024.pdf
amino-acid-formula-ga-explore5,2024,11,2024-11-01,amino-acid-formula-ga-explore5-psd-nov-2024.pdf
amino-acid-formula-ga1-anamix-junior,2015,11,2015-11-01,amino-acid-formula-ga1-anamix-junior-psd-november-2015.pdf
amino-acid-formula-hcu-anamix-junior,2015,11,2015-11-01,amino-acid-formula-hcu-anamix-junior-psd-november-2015.pdf
amino-acid-formula-hcu-explore5,2023,3,2023-03-01,amino-acid-formula-hcu-explore5-psd-03-2023.pdf
