drug_name,brand_name,atc_code,gov_benefit_aud,scripts,cost_per_script_aud,report_year,source_url
PEMBROLIZUMAB,,,566997046,66560,8518.59,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
PEMBROLIZUMAB,,,566997046,66560,8518.59,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
NIVOLUMAB,,,437624543,60573,7224.75,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
NIVOLUMAB,,,437624543,60573,7224.75,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
USTEKINUMAB,,,435514788,60131,7242.77,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
AFLIBERCEPT,,,414352954,423776,977.76,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DUPILUMAB,,,366173611,213318,1716.56,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DENOSUMAB,,,291440720,1154845,252.36,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
SEMAGLUTIDE,,,284633100,2397521,118.72,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ADALIMUMAB,,,246413570,355511,693.13,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
OCRELIZUMAB,,,225270661,13721,16417.95,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DARATUMUMAB,,,182995796,25597,7149.11,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
OSIMERTINIB,,,163467414,20842,7843.17,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ENZALUTAMIDE,,,157994895,45672,3459.34,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
IPILIMUMAB,,,153386733,7599,20185.12,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
IPILIMUMAB,,,153386733,7599,20185.12,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
VEDOLIZUMAB,,,153355935,63372,2419.93,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DARATUMUMAB^^,,,152408682,21294,7157.35,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
GUSELKUMAB,,,148534931,39868,3725.67,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ATEZOLIZUMAB,,,137113654,19009,7213.09,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ATEZOLIZUMAB,,,137113654,19009,7213.09,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
FARICIMAB,,,124764099,116842,1067.8,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DURVALUMAB,,,113444507,10752,10551.01,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
DURVALUMAB,,,113444507,10752,10551.01,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
CEMIPLIMAB,,,107712803,14419,7470.2,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
CEMIPLIMAB,,,107712803,14419,7470.2,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
SECUKINUMAB,,,103900649,75495,1376.26,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
RISANKIZUMAB,,,97369950,18110,5376.58,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
RIBOCICLIB,,,94929667,21124,4493.92,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
RANIBIZUMAB,,,92576340,108632,852.2,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
ETANERCEPT,,,89111271,107149,831.66,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
INFLIXIMAB,,,88111661,98550,894.08,2024,https://www.pbs.gov.au/statistics/expenditure-prescriptions/2023-2024/Expenditure-prescriptions-report-tables-2023-24.XLSX
