filename,drug,brand_name,indication,therapy_area,recommendation,listing_type,comparator,icer_low,icer_high,icer_note,risk_sharing,risk_sharing_note,population_per_year,key_trials,resubmission,pbac_year,pbac_month,extraction_ok,error_note
20-valent-pneumococcal-conjugate-vaccine-psd-nov-2023.pdf,"pneumococcal conjugate vaccine, 20-valent",Prevenar 20,Prevention of pneumococcal disease caused by Streptococcus pneumoniae in paediatric populations including infants aged 12 months or younger and children with NIP-funded risk conditions.,Immunology,Recommended with restriction,Restricted,13-valent pneumococcal conjugate vaccine (13vPCV) and 15-valent pneumococcal conjugate vaccine (15vPCV),,,Cost-minimisation approach used; ICER not calculated as submission based on cost-minimisation versus 13vPCV and 15vPCV,no,,,,no,2023,11,yes,
20v-pcv-psd-11-2022.pdf,"pneumococcal polysaccharide conjugate vaccine, 20-valent",Prevenar 20,"Prevention of pneumococcal disease (invasive pneumococcal disease and pneumococcal pneumonia) caused by Streptococcus pneumoniae in adults aged ≥18 years, including non-Indigenous adults aged ≥70 years, Aboriginal and Torres Strait Islander adults aged ≥25 years, and adults with at-risk conditions.",Immunology,,,"13-valent pneumococcal conjugate vaccine (13vPCV), 15-valent pneumococcal conjugate vaccine (15vPCV), and no vaccine",,,Not stated in provided document excerpt,no,,,,no,2022,11,yes,
abaloparatide-psd-july-2025.pdf,abaloparatide,Eladynos,First-line treatment for severe established osteoporosis with very high risk of fracture in patients regardless of gender.,Musculo-skeletal,Noted,Restricted,romosozumab,,,Cost-minimisation approach used; ICER not calculated,no,,,,no,2025,7,yes,
Abatacept-ORENCIA-BMS-5-1-PSD-Nov-07-FINAL.pdf,abatacept,Orencia,Treatment in combination with methotrexate of adults with severe active rheumatoid arthritis who have failed prior disease modifying anti-rheumatic drug (DMARD) therapy.,Musculo-skeletal,Recommended with restriction,Restricted,infliximab,,,ICER not stated in document,no,,,"Study 043, Study 102, Study 029, ATTRACT, ASSURE",no,,,yes,
abatacept-psd-march-2018.pdf,abatacept,Orencia,"Treatment of severe active psoriatic arthritis in patients who have failed adequate response to conventional synthetic disease-modifying anti-rheumatic drugs (methotrexate, sulfasalazine, or leflunomide) and have not received prior PBS-subsidised biological agent treatment.",Musculo-skeletal,Recommended with restriction,Authority Required,"certolizumab pegol, ustekinumab, secukinumab",,,Cost-minimisation analysis used; no ICER calculated. Prices redacted in document.,no,,,"Mease 2011, Mease 2017",no,2018,3,yes,
abatacept-psd-november-2015.pdf,abatacept,Orencia,Treatment of severe active rheumatoid arthritis. Autoinjector presentation for subcutaneous administration.,Immunology,Recommended,Authority Required,,,,No economic analysis conducted; minor submission for new presentation of existing drug,no,,,,no,2015,11,yes,
abemaciclib-psd-03-2023.pdf,abemaciclib,Verzenio®,"Treatment of hormone receptor positive (HR+), human epidermal growth factor receptor 2 negative (HER2-), lymph node positive, invasive, resected early breast cancer (EBC) at high risk of disease recurrence, in combination with standard adjuvant endocrine therapy.",Oncology,Not recommended,Authority Required,adjuvant endocrine therapy alone,,,ICER values not stated in the extracted document section,no,,,"monarchE, MONARCH-2, MONARCH-3",yes,2023,3,yes,
abemaciclib-psd-mar-2021.pdf,abemaciclib,Verzenio,"Treatment of non-premenopausal patients with hormone receptor positive (HR+) and human epidermal growth factor receptor 2 negative (HER2-) inoperable locally advanced or metastatic breast cancer in combination with fulvestrant, for those with endocrine resistance after prior endocrine therapy.",Oncology,Recommended with restriction,Authority Required,ribociclib,,,Cost-minimisation analysis performed; no ICER range provided,no,,,,no,2021,3,yes,
abemaciclib-psd-march-2019.pdf,abemaciclib,Verzenio®,"Initial endocrine-based treatment for non-premenopausal patients with hormone receptor positive (HR+), human epidermal growth factor receptor 2 negative (HER2-) locally advanced or metastatic breast cancer, in combination with non-steroidal aromatase inhibitors.",Oncology,Recommended with restriction,Authority Required,ribociclib,,,Cost-minimisation analysis used; ICER not applicable,no,,,,no,2019,3,yes,
abemaciclib-psd-march-2022.pdf,abemaciclib,Verzenio,"Adjuvant treatment of hormone receptor positive (HR+), human epidermal growth factor receptor 2 negative (HER2-), lymph node positive, early-stage breast cancer at high risk of recurrence, in combination with endocrine therapy.",Oncology,Recommended with restriction,Authority Required,Endocrine therapy alone,,,ICER not stated in extracted text,no,,,monarchE,no,2022,3,yes,
abemaciclib-psd-nov-2023.pdf,abemaciclib,Verzenio,"Hormone receptor positive (HR+), human epidermal growth factor receptor 2 negative (HER2-), lymph node positive, invasive, resected early breast cancer (EBC) at high risk of disease recurrence, in combination with standard adjuvant endocrine therapy.",Oncology,Recommended with restriction,Authority Required,standard adjuvant endocrine therapy alone,,,ICER values commercially sensitive and redacted in document,yes,Risk sharing arrangement with annual subsidisation caps and rebate for use exceeding financial caps,,monarchE,yes,2023,11,yes,
abiraterone%20and%20methylprednisolone-psd-july-2023.pdf,abiraterone acetate,Yonsa Mpred®,Newly diagnosed metastatic hormone-sensitive prostate cancer (mHSPC) in combination with androgen deprivation therapy (ADT).,Oncology,Recommended with restriction,Authority Required,apalutamide,,,Cost-minimisation approach used; ICER not calculated,yes,Sponsor expects to join the same risk sharing arrangement as apalutamide upon listing,,,no,2023,7,yes,
abiraterone-acetate-and-prednisolone-psd-july-2025.pdf,abiraterone acetate and prednisolone,Andriga-10,Treatment of patients with metastatic castration resistant prostate cancer (mCRPC) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy or who have received prior chemotherapy containing a taxane.,Oncology,Recommended with restriction,Authority Required,abiraterone acetate 500 mg tablets (Zytiga) and prednisolone 5 mg tablets used concomitantly,,,Cost-minimisation approach; no ICER range provided,no,,,,no,2025,7,yes,
abiraterone-and-enzalutamide-psd-july-2021.pdf,abiraterone; enzalutamide,Zytiga; Xtandi,Castration resistant prostate cancer (CRPC). The PBAC considered whether to remove the 'metastatic' requirement from existing PBS listings to allow use in non-metastatic CRPC (m0CRPC) patients.,Oncology,Not recommended,Authority Required,,,,"No ICER analysis performed; this was a listing restriction amendment proposal, not a new drug evaluation.",no,,,,yes,2021,7,yes,
abiraterone-and-methylprednisolone-psd-11-2022.pdf,abiraterone acetate and methylprednisolone,Yonsa® MPRED™,"Treatment of patients with metastatic castration-resistant prostate cancer (mCRPC) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy, or who have received prior chemotherapy containing a taxane.",Oncology,Recommended with restriction,Authority Required,originator abiraterone acetate (OAA) 1000 mg once daily with prednisone 5 mg twice daily,,,Cost-minimisation basis; ICER not calculated,no,,,,yes,2022,11,yes,
abiraterone-and-methylprednisolone-psd-march-2022.pdf,abiraterone acetate,Yonsa® MPRED,Treatment of patients aged ≥18 years with metastatic castration-resistant prostate cancer (mCRPC). The submission requested listing for a composite pack containing abiraterone acetate in a fine particle formulation co-packaged with methylprednisolone.,Oncology,Recommended with restriction,Authority Required,originator abiraterone acetate (OAA) 1000 mg once daily with prednisolone 5 mg twice daily,,,Cost-minimisation analysis submitted; ICER not reported,yes,Special Pricing Arrangement (SPA) in line with existing abiraterone SPA; difference between published price and effective price provided as rebate to government,,STAAR,no,2022,3,yes,
abiraterone-enzalutamide-psd-mar-2021.pdf,abiraterone acetate; enzalutamide,Zytiga; Xtandi,"Amendment to existing listings for metastatic castration-resistant prostate cancer (mCRPC) by removing the requirement for prior docetaxel treatment or predicted intolerance to docetaxel, allowing use in the pre-docetaxel setting.",Oncology,Noted,Authority Required,abiraterone vs enzalutamide (cost-minimisation comparison),,,ICER data not provided in the extracted document sections; this is a listing amendment proposal,no,,1921,,yes,2021,3,yes,
abiraterone-psd-07-2014.pdf,abiraterone acetate,Zytiga,"Treatment of metastatic castrate-resistant prostate cancer (mCRPC) after treatment failure with androgen deprivation therapy, in asymptomatic or mildly symptomatic patients, prior to docetaxel treatment.",Oncology,Not recommended,Authority Required,watchful waiting (placebo); potentially docetaxel and best supportive care,,,ICER not stated or calculated in this submission,no,,,"Trial 302, TAX327",no,2014,7,yes,
abiraterone-psd-july-2017.pdf,abiraterone acetate,Zytiga,Metastatic castration-resistant carcinoma of the prostate in combination with a corticosteroid,Oncology,Recommended with restriction,Authority Required,docetaxel,,,No economic comparison presented; minor submission,no,,,,no,2017,7,yes,
abiraterone-psd-march-2017.pdf,abiraterone acetate,Zytiga®,Treatment of metastatic castration resistant prostate cancer (mCRPC) in patients who have failed docetaxel or are unsuitable for docetaxel treatment.,Oncology,Recommended with restriction,Authority Required,docetaxel,,,,no,,,,yes,2017,3,yes,
abrocitinib-psd-nov-2024.pdf,abrocitinib,Cibinqo,Treatment of adult patients with chronic severe atopic dermatitis who are unable to achieve disease control with daily use of topical treatments for at least 28 days.,Immunology,Recommended with restriction,Authority Required,dupilumab,,,ICERs not stated in extracted text; cost-minimisation and cost-effectiveness analyses referenced but specific values not provided,no,,,,yes,2024,11,yes,
acalabrutinib-psd-03-2023.pdf,acalabrutinib,Calquence®,Relapsed/refractory chronic lymphocytic leukaemia/small lymphocytic lymphoma (rrCLL/SLL). This submission requests increases to the existing Deed of Agreement expenditure cap to reflect increased patient incidence and sequential treatment patterns.,Haematology,Noted,Restricted,,,,"Category 3 submission regarding Deed of Agreement expenditure cap adjustment; no ICER calculated as this is a risk-sharing arrangement review, not a clinical efficacy assessment",yes,"Shared cap arrangement (RSA) for ibrutinib, venetoclax and acalabrutinib for rrCLL/SLL. Acalabrutinib joined the arrangement on 1 September 2020. Submission requests increases to Cap 2 to account for increased patient incidence (+19.4%), sequential venetoclax use, and co-payment changes.",5000,,no,2023,3,yes,
acalabrutinib-psd-12-2022.pdf,acalabrutinib,Calquence,"Treatment of patients with previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) who are unsuitable for fludarabine-based chemoimmunotherapy, in combination with obinutuzumab.",Haematology,,Authority Required,venetoclax + obinutuzumab,,,ICER values not stated in provided document extract,no,,,"ELEVATE-TN, CLL-14",yes,2022,12,yes,
acalabrutinib-psd-july-2020.docx.pdf,acalabrutinib,Calquence®,"Treatment of patients with previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) considered unsuitable for treatment with a purine analogue, or patients with untreated CLL/SLL who harbour a 17p deletion.",Haematology,Recommended with restriction,Authority Required,chlorambucil + obinutuzumab (primary); venetoclax + obinutuzumab (supplementary); ibrutinib (17p deletion population),,,Commercial sensitivity — values redacted in document,yes,Special pricing arrangement (SPA) with rebate on published price proposed,,ELEVATE-TN,yes,,,yes,
acalabrutinib-psd-july-2021.pdf,acalabrutinib,Calquence,Treatment of patients with relapsed or refractory mantle cell lymphoma who have received at least one prior therapy and have a WHO performance status of 0 or 1.,Haematology,Recommended with restriction,Authority Required,ibrutinib,,,Cost-minimisation analysis used; ICER not calculated,yes,Special pricing arrangement including rebate for acalabrutinib to realise cost-minimisation claim relative to ibrutinib,,"ACE-LY-004, ACE-LY-308",no,2021,7,yes,
acalabrutinib-psd-july-2023.pdf,acalabrutinib,Calquence®,"Treatment of patients with previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL), as monotherapy or in combination with obinutuzumab.",Haematology,Recommended with restriction,Authority Required,venetoclax plus obinutuzumab,,,Cost-minimisation approach used; no ICER range provided,no,,,,yes,2023,7,yes,
acalabrutinib-psd-july-2025.pdf,acalabrutinib,Calquence,Previously untreated Stage III or IV mantle cell lymphoma in patients ineligible for stem cell transplantation. Acalabrutinib is used in combination with bendamustine and rituximab for induction therapy followed by continuing acalabrutinib monotherapy or with rituximab maintenance.,Haematology,Recommended,Authority Required,bendamustine and rituximab,,,ICER values not provided in the excerpt,no,,,ECHO,no,2025,7,yes,
acalabrutinib-psd-march-2020.pdf,acalabrutinib,Calquence®,Treatment of patients with relapsed or refractory chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) considered unsuitable for treatment or retreatment with a purine analogue.,Haematology,Recommended with restriction,Authority Required,ibrutinib,,,Cost-minimisation analysis performed versus ibrutinib; specific ICER values not disclosed in document.,no,,,,no,2020,3,yes,
acalabrutinib-psd-nov-2021.pdf,acalabrutinib,Calquence®,"Treatment of patients with previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) who are unsuitable for fludarabine-based chemoimmunotherapy and venetoclax + obinutuzumab, or who permanently discontinue venetoclax + obinutuzumab due to intolerance.",Haematology,Recommended with restriction,Authority Required,chlorambucil + obinutuzumab,,,ICER values not provided in the excerpt,no,,,ELEVATE-TN,yes,2021,11,yes,
acalabrutinib-psd-november-2025.pdf,acalabrutinib,Calquence,Previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in combination with venetoclax as a fixed duration regimen,Haematology,Recommended with restriction,Authority Required,ibrutinib+venetoclax (IV) and venetoclax+obinutuzumab (VO),,,Cost-minimisation approach used; ICER not calculated,no,,,,no,2025,11,yes,
aciclovir-psd-july-2015%20.pdf,aciclovir,AciVision,Herpes simplex keratitis. Temporary listing as an alternative to Zovirax due to product shortage from Zovirax recall.,Infectious disease,Recommended with restriction,Restricted,aciclovir (Zovirax),,,No economic evaluation or ICER calculated; temporary listing as alternative to existing product with same price,no,,,,no,,,yes,
